schoolNumber,name,address,zip,city,email
7337,Mittelpunktschule Wilhelmsthal,Weserstraße 9,34379,Calden,poststelle7337@schule.hessen.de
7338,Burgbergschule,Hofgeismarer Straße  9,34393,Grebenstein,poststelle7338@schule.hessen.de
7340,Wiesenbergschule,Schulstraße 11,34369,Hofgeismar Hümme,poststelle7340@schule.hessen.de
7341,Grundschule zur Friedenseiche Hombressen,Am Sportplatz 1,34369,Hofgeismar,poststelle7341@schule.hessen.de
7342,Würfelturmschule,Unterer Graben  18,34369,Hofgeismar,poststelle7342@schule.hessen.de
7344,Lilli-Jahn-Schule,Nordweg 10,34376,Immenhausen,poststelle7344@schule.hessen.de
7346,Sieburgschule,Carlstr. 27,34385,Bad Karshafen,poststelle7346@schule.hessen.de
7347,Diemeltalschule,Am Anhaltsberg 1,34396,Liebenau,poststelle7347@schule.hessen.de
7350,Grundschule Oberweser,Jahnstraße  15,34399,Wesertal-Gieselwerder,poststelle7350@schule.hessen.de
7351,Lucas-Lossius-S.,Graseweg 1,34359,Reinhardshagen,poststelle7351@schule.hessen.de
7354,Grundschule Diemelaue,Zur Abgunst 7,34388,Trendelburg,poststelle7354@schule.hessen.de
7355,Grundschule Wahlsburg,Schulstraße 32a,37194,Wahlsburg,poststelle7355@schule.hessen.de
7382,Friedrich-Ebert-S.,Akazienallee 23,34225,Baunatal,poststelle7382@schule.hessen.de
7385,Langenbergschule,Burgbergstraße 33-35,34225,Baunatal,poststelle7385@schule.hessen.de
7387,Grundschule Am Lindenplatz,Kasseler Straße 10,34277,Fuldabrück,poststelle7387@schule.hessen.de
7388,Brüder-Grimm-Schule,Dorothea-Viehmann-Straße 20,34225,Baunatal,poststelle7388@schule.hessen.de
7390,Grundschule Elgershausen,Unterer Kirchweg  5,34270,Schauenburg,poststelle7390@schule.hessen.de
7392,Grundschule Espenau,Goethestraße 9,34314,Espenau-Mönchehof,poststelle7392@schule.hessen.de
7394,Grundschule Simmershausen,Teichstraße 10,34233,Fuldatal-Simmershausen,poststelle7394@schule.hessen.de
7395,Hermann-Schafft-Schule,Obere Feldstraße 11,34277,Fuldabrück,poststelle7395@schule.hessen.de
7396,Grundschule Heckershausen,An der Ahna  9,34292,Ahnatal-Heckershausen,poststelle7396@schule.hessen.de
7397,Schäferland-Schule,Schulstraße 10,34298,Helsa,poststelle7397@schule.hessen.de
